epoch,train_loss,train_roc,train_ap,val_loss,val_roc,val_ap
1,1.2398,0.8262,0.1268,,,
2,1.2451,0.8177,0.1102,,,
3,1.2232,0.8498,0.1399,,,
4,1.2262,0.8645,0.1258,,,
5,1.2763,0.8431,0.0842,1.4311,0.5163,0.0192
6,1.2899,0.8276,0.0723,,,
7,1.281,0.8288,0.0714,,,
8,1.254,0.8629,0.0942,,,
9,1.2039,0.9302,0.1719,,,
10,1.235,0.9022,0.1043,1.4371,0.5169,0.0192
11,1.206,0.9269,0.1612,,,
12,1.2089,0.9272,0.1524,,,
13,1.2024,0.9275,0.1618,,,
14,1.2044,0.9292,0.1526,,,
15,1.2107,0.9197,0.1412,1.4286,0.5224,0.0194
16,1.2014,0.9301,0.1655,,,
17,1.2143,0.9192,0.1348,,,
18,1.2669,0.8554,0.0854,,,
19,1.1954,0.935,0.176,,,
20,1.2169,0.9146,0.128,1.4301,0.5209,0.0193
21,1.1908,0.9407,0.2065,,,
22,1.2224,0.9105,0.125,,,
23,1.2164,0.9176,0.148,,,
24,1.2275,0.9085,0.1243,,,
25,1.2077,0.9238,0.1591,1.4335,0.522,0.0193
26,1.2419,0.8886,0.1008,,,
27,1.1998,0.9294,0.155,,,
28,1.2044,0.924,0.1472,,,
29,1.2095,0.9208,0.1403,,,
30,1.191,0.941,0.1873,1.4245,0.5244,0.0195
31,1.2384,0.8915,0.0973,,,
32,1.2167,0.919,0.1408,,,
33,1.1971,0.9357,0.1706,,,
34,1.2222,0.9078,0.1338,,,
35,1.2008,0.9297,0.1729,1.4305,0.5222,0.0194
36,1.2581,0.8793,0.0885,,,
37,1.2552,0.8679,0.0918,,,
38,1.2328,0.8908,0.1168,,,
39,1.2144,0.9172,0.1368,,,
40,1.2354,0.8983,0.1117,1.4306,0.523,0.0194
41,1.2497,0.8821,0.0967,,,
42,1.2058,0.9219,0.1379,,,
43,1.2065,0.9242,0.1527,,,
44,1.214,0.9225,0.1462,,,
45,1.2281,0.9049,0.1182,1.4418,0.5199,0.0193
46,1.1995,0.9325,0.1689,,,
47,1.2621,0.8637,0.0914,,,
48,1.2023,0.9324,0.1596,,,
49,1.2367,0.8969,0.1046,,,
50,1.2273,0.9106,0.1166,1.4376,0.5206,0.0193
51,1.2283,0.907,0.1091,,,
52,1.1982,0.9316,0.1701,,,
53,1.2141,0.9175,0.1476,,,
54,1.2195,0.9171,0.126,,,
55,1.1952,0.9365,0.1864,1.433,0.5223,0.0194
56,1.1985,0.9368,0.1816,,,
57,1.2452,0.8909,0.1134,,,
58,1.196,0.938,0.1827,,,
59,1.2211,0.9131,0.1294,,,
60,1.2553,0.89,0.1089,1.4448,0.5195,0.0192
61,1.2054,0.9264,0.1599,,,
62,1.2007,0.9317,0.1693,,,
63,1.2066,0.9288,0.1442,,,
64,1.2095,0.924,0.149,,,
65,1.1962,0.9381,0.1919,1.4437,0.5192,0.0192
66,1.2506,0.8777,0.0836,,,
67,1.259,0.8631,0.097,,,
68,1.2485,0.8993,0.114,,,
69,1.242,0.889,0.1012,,,
70,1.2119,0.9246,0.1597,1.4303,0.5224,0.0194
71,1.2153,0.9208,0.1363,,,
72,1.2288,0.9072,0.1106,,,
73,1.1948,0.9371,0.1796,,,
74,1.2458,0.8936,0.0964,,,
75,1.2106,0.9223,0.147,1.4382,0.5199,0.0193
76,1.2594,0.8674,0.096,,,
77,1.199,0.9328,0.1602,,,
78,1.2411,0.8945,0.12,,,
79,1.2358,0.8943,0.1224,,,
80,1.195,0.9383,0.1743,1.4345,0.5224,0.0194
81,1.201,0.9297,0.156,,,
82,1.2441,0.8851,0.1013,,,
83,1.2304,0.9012,0.1295,,,
84,1.1933,0.9341,0.1965,,,
85,1.2142,0.923,0.1498,1.4239,0.5238,0.0194
86,1.2227,0.9134,0.1316,,,
87,1.2334,0.9089,0.119,,,
88,1.2029,0.9312,0.1551,,,
89,1.1992,0.9338,0.1637,,,
90,1.2661,0.8568,0.0871,1.4319,0.523,0.0194
91,1.2127,0.9228,0.1458,,,
92,1.2386,0.8974,0.1134,,,
93,1.2022,0.9307,0.1783,,,
94,1.2234,0.9075,0.1186,,,
95,1.2145,0.9178,0.1387,1.4338,0.5235,0.0194
96,1.2073,0.9285,0.1507,,,
97,1.222,0.9163,0.1332,,,
98,1.1853,0.944,0.1878,,,
99,1.2015,0.9309,0.1627,,,
100,1.1992,0.9317,0.1663,1.441,0.5213,0.0193
101,1.2114,0.9175,0.1375,,,
102,1.2266,0.908,0.1127,,,
103,1.2022,0.9316,0.1547,,,
104,1.202,0.9309,0.1685,,,
105,1.2121,0.9228,0.1548,1.4392,0.5187,0.0192
106,1.1999,0.9351,0.1794,,,
107,1.2014,0.9318,0.1697,,,
108,1.2573,0.8821,0.0834,,,
109,1.2087,0.9258,0.1499,,,
110,1.2026,0.9344,0.1678,1.4412,0.5192,0.0192
111,1.2723,0.8596,0.0697,,,
112,1.2057,0.9308,0.1623,,,
113,1.2032,0.9286,0.1554,,,
